ORIGEN,280724,CH0001,CH0004,CH0006,CH0008,CH0009,CH0011,CH0012,CH0013,CH0017,CH0018,CH0019,CH0020,CH0023,CH0024,CH0025,CH0026,CH0027,CH0028,CH0029,CH0030,CH0031,CH0032,CH0034,CH0037,CH0038,CH0039,CH0041,CH0042,CH0043,CH0044,CH0045,CH0046,CH0047,CH0049,CH0050,CH0051,CH0052,CH0053,CH0054,CH0057,CH0059,CH0060,CH0061,CH0062,CH0063,CH0064,CH0065,CH0067,CH0068,CH0069,CH0070,CH0071,CH0072,CH0075,CH0076,CH0077,CH0079,CH0080,CH0081,CH0083,CH0084,CH0086,CH0087,CH0088,CH0089,CH0091,CH0092,CH0093,CH0094,CH0095,CH0096,CH0097,CH0098,CH0099,CH0100,CH0101,CH0102,CH0103,CH0104,CH0105,CH0106,CH0107,CH0109,CH0110,CH2669,,,,,CH0108
0080702,53.368,57.34,74.581,68.371,73.097,65.542,72.746,68.283,67.761,66.977,66.8,73.285,64.504,56.452,64.097,78.674,73.842,48.142,101.462,66.309,57.2,57.848,36.675,64.9,64.303,48.871,73.667,75.249,74.649,89.659,92.836,12.796,78.164,74.847,75.327,70.196,64.799,50.54,72.663,62.932,71.312,65.969,51.811,70.339,70.163,51.116,58.934,63.47,73.417,59.558,69.969,60.378,67.706,81.688,56.41,74.361,57.42,73.174,42.652,53.274,69.444,41.518,47.756,69.823,35.017,81.232,55.824,65.99,77.309,52.251,67.126,76.191,88.401,47.904,85.416,82.165,64.151,54.36,91.727,83.326,40.097,82.57,39.505,90.506,70.192,50.208,73.717,69.809,77.509,82.937,23.306
0090101,42.615,44.146,70.286,31.741,31.165,36.202,37.246,29.474,28.576,30.878,30.987,31.542,26.645,37.443,32.669,25.324,29.535,77.457,76.141,31.657,40.282,32.044,60.498,32.393,34.124,53.045,28.724,26.56,27.632,72.993,27.846,106.445,24.814,70.551,27.036,28.543,32.292,63.982,37.164,40.013,29.429,31.317,49.648,28.007,27.973,45.118,30.193,33.863,31.006,30.532,28.317,29.789,29.751,28.338,56.095,30.45,35.871,27.918,53.567,42.654,26.884,55.458,63.134,53.157,62.654,23.121,46.714,36.182,23.556,42.309,62.83,31.05,12.779,66.963,81.12,51.741,41.232,45.031,75.061,27.521,57.109,65.904,60.335,25.076,29.976,56.293,28.461,28.157,27.091,27.176,70.373
0090501,39.701,41.232,67.968,28.827,28.251,33.288,34.333,26.56,25.662,27.964,28.073,28.628,23.731,34.529,29.755,22.41,26.621,74.543,73.227,28.743,37.368,29.13,57.584,29.479,31.21,50.131,25.81,23.646,25.314,70.079,27.309,103.532,21.9,68.233,24.122,25.629,29.378,61.664,34.25,37.099,26.515,28.403,46.734,25.093,25.059,42.204,27.279,30.949,28.092,27.618,25.403,26.875,26.837,25.424,53.777,27.536,32.957,25.004,50.654,39.74,23.97,52.544,60.22,50.243,59.74,20.207,43.8,33.268,20.642,39.396,60.512,28.732,9.865,64.645,78.802,49.423,38.318,42.117,72.147,26.983,54.195,62.99,57.421,24.539,27.062,53.379,25.547,25.243,24.177,26.638,67.459
0090601,39.68,41.211,67.966,28.806,28.23,33.267,34.311,26.538,25.64,27.943,28.052,28.607,23.71,34.508,29.733,22.389,26.599,74.522,73.206,28.722,37.347,29.109,57.563,29.458,31.189,50.109,25.789,23.625,25.312,70.058,29.591,103.51,21.879,68.231,24.101,25.608,29.357,61.662,34.228,37.077,26.494,28.382,46.712,25.072,25.038,42.182,27.258,30.928,28.071,27.597,25.381,26.854,26.816,25.403,46.158,27.515,32.935,24.983,50.632,39.719,23.949,52.522,60.199,50.221,59.718,20.186,43.779,33.247,20.621,39.374,60.51,28.73,9.844,64.644,78.8,49.421,38.297,42.096,72.126,29.265,54.173,62.969,57.4,26.821,27.041,53.358,25.526,25.222,24.156,28.92,67.438
0090801,39.917,41.448,64.121,29.044,28.467,33.504,34.549,26.776,25.878,28.18,28.289,28.844,23.947,34.745,29.971,22.626,26.837,74.759,55.657,28.96,37.584,29.346,57.8,29.696,31.426,50.347,26.026,23.862,30.043,70.295,42.75,103.748,22.117,64.386,24.338,25.846,29.594,57.171,34.466,37.315,26.732,28.62,46.95,25.309,25.275,42.42,27.496,31.165,28.308,27.835,25.619,27.091,27.053,25.641,46.395,27.752,33.173,25.22,50.87,39.957,24.186,52.76,60.436,50.459,59.956,20.423,44.017,33.485,20.858,39.612,56.665,33.461,10.275,59.299,74.955,54.152,38.534,42.333,72.363,33.24,54.411,63.206,57.638,34.254,27.278,53.596,25.763,25.459,24.394,32.852,67.675
0091101,43.199,44.73,70.87,32.325,31.749,36.786,37.831,30.058,29.16,31.462,31.571,32.126,27.229,38.027,33.253,25.908,30.119,78.041,76.725,32.241,40.866,32.628,61.082,32.977,34.708,53.629,29.308,27.144,28.216,73.577,28.43,107.03,25.398,71.135,27.62,29.127,32.876,64.566,37.748,40.597,30.013,31.901,50.232,28.591,28.557,45.702,30.777,34.447,31.59,31.116,28.901,30.373,30.335,28.922,56.679,31.034,36.455,28.502,54.152,43.238,27.468,56.042,63.718,53.741,63.238,23.705,47.298,36.766,24.14,42.894,63.414,31.634,13.363,67.547,81.704,52.325,41.816,45.615,75.645,28.105,57.693,66.488,60.919,25.66,30.56,56.877,29.045,28.741,27.675,27.76,70.957
0100101,46.423,33.6,77.909,47.73,41.216,33.66,40.865,49.737,48.839,44.487,44.596,41.404,42.696,48.315,53.25,47.026,41.96,15.24,17.376,44.23,44.502,42.789,48.323,53.152,53.456,47.292,42.019,43.602,63.524,6.292,82.022,93.345,46.516,78.174,43.679,44.824,53.051,53.868,40.782,56.271,39.664,44.666,55.138,48.27,48.236,44.401,42.303,52.622,41.535,44.205,45.029,44.081,44.357,50.041,54.831,42.48,39.679,41.526,46.2,36.875,47.06,44.898,51.471,14.977,49.553,49.584,41.723,34.109,45.661,46.118,70.453,64.542,56.753,64.517,88.743,73.872,57.49,31.981,7.641,72.512,44.934,3.507,48.288,79.692,56.6,53.516,42.069,46.764,55.775,72.123,58.205
0101701,45.258,32.436,76.744,46.565,40.051,32.496,39.7,48.572,47.674,43.322,43.431,40.239,41.531,47.151,52.085,45.861,40.796,17.347,20.388,43.065,43.338,41.625,47.159,51.988,52.291,46.127,40.854,42.437,62.359,8.195,80.857,92.18,45.352,77.009,42.515,43.659,51.886,52.703,39.617,55.106,38.5,43.501,53.974,47.105,47.071,43.236,41.138,51.457,40.371,43.04,45.787,42.917,43.192,48.876,53.667,41.315,38.514,40.361,45.035,35.71,45.895,43.733,50.306,13.813,48.388,48.42,40.559,32.944,44.496,44.953,69.289,63.377,55.589,63.353,87.579,72.707,56.326,30.816,9.544,71.347,43.769,2.342,47.123,78.527,55.436,52.351,40.904,45.6,54.611,70.959,57.04
0101801,44.279,31.456,75.765,45.586,39.072,31.516,38.721,47.593,46.695,42.343,42.452,39.26,40.552,46.172,51.106,44.882,39.816,14.152,21.549,42.086,42.358,40.645,46.18,51.008,51.312,45.148,39.875,41.458,61.38,8.841,79.878,91.201,44.372,76.03,41.535,42.68,50.907,51.724,38.638,54.127,37.52,42.522,52.994,46.126,46.092,42.257,40.159,50.478,39.391,42.061,44.808,41.937,42.213,47.897,52.687,40.336,37.535,39.382,44.056,34.731,44.916,42.754,49.327,12.833,47.409,47.441,39.58,31.965,43.517,43.974,68.31,62.398,54.609,62.373,86.599,71.728,55.346,29.837,10.191,70.368,42.79,3.503,46.144,77.548,54.457,51.372,39.925,44.62,53.631,69.979,56.061
0110101,62.189,80.013,56.107,55.457,57.506,70.46,58.295,55.369,54.848,53.749,53.44,57.883,59.106,56.928,52.068,65.69,56.528,117.823,116.507,53.201,60.487,55.738,77.915,51.793,53.607,65.776,62.845,59.021,49.044,113.359,40.596,122.298,65.181,52.736,60.08,56.517,51.691,70.187,58.212,49.484,64.028,52.861,71.457,56.06,55.965,65.023,57.349,54.239,57.347,54.476,57.071,55.137,54.792,68.705,63.538,58.649,64.026,68.284,70.491,74.658,56.536,76.268,74.743,93.523,89.204,59.911,75.4,70.441,59.746,62.391,69.035,49.206,60.774,73.168,60.954,29.883,53.868,80.898,115.427,34.921,78.735,106.27,76.277,36.614,57.279,68.793,68.827,56.911,59.687,34.576,87.296
0110201,63.276,81.1,52.48,56.544,58.593,71.546,59.382,56.456,55.934,54.836,54.526,58.97,60.193,58.015,53.154,66.777,57.615,118.91,117.594,54.288,61.574,56.825,79.001,52.879,54.694,66.863,63.932,60.108,50.131,114.446,41.683,123.384,66.267,53.822,61.167,57.604,52.778,71.274,59.299,50.57,65.114,53.948,72.544,57.147,57.052,66.109,58.436,55.325,58.434,55.563,58.157,56.224,55.879,69.791,64.625,59.736,65.113,69.371,71.578,75.745,57.623,77.354,75.83,94.609,90.291,60.998,76.486,71.527,60.832,63.477,70.122,50.292,61.86,74.255,62.041,30.97,54.955,81.985,116.514,36.008,79.821,107.357,77.364,37.701,52.943,69.879,69.914,57.998,60.774,35.663,88.383
0120101,50.488,64.489,55.957,37.174,42.289,56.544,42.451,36.183,37.874,39.5,39.609,42.666,42.132,45.947,41.169,45.666,41.311,97.799,96.484,39.243,48.786,41.704,65.827,40.893,42.623,54.182,45.287,42.047,28.437,93.335,20.461,110.703,45.157,71.425,43.107,39.544,40.792,64.856,42.368,42.914,46.469,39.825,61.384,37.668,37.573,57.043,40.629,42.644,42.13,39.667,41.369,39.92,38.071,48.681,56.969,43.432,52.325,48.261,58.896,62.997,39.563,60.787,69.412,73.499,77.609,42.941,57.373,56.525,42.776,50.69,63.704,31.856,41.025,67.837,81.994,29.742,42.274,65.373,95.403,17.999,62.438,86.246,62.846,13.294,34.934,62.224,48.804,41.614,37.874,17.654,75.702
0120201,52.432,66.432,57.901,39.118,44.233,58.488,44.395,38.126,39.818,41.443,41.553,44.61,44.076,47.891,43.112,47.61,43.255,99.743,98.427,41.186,50.729,43.648,67.771,42.837,44.566,56.125,47.23,43.991,30.38,95.279,19.247,112.647,47.1,73.368,45.05,41.487,42.736,66.8,44.312,44.858,48.413,41.769,63.328,39.612,39.517,58.987,42.572,44.588,44.074,41.611,43.312,41.864,40.015,50.624,58.913,45.376,54.269,50.204,60.84,64.94,41.506,62.73,71.356,75.442,79.553,44.884,59.317,58.468,44.719,52.633,65.648,33.799,44.251,69.781,83.937,31.686,44.217,67.317,97.347,19.942,64.381,88.19,64.789,15.237,36.877,64.167,50.747,43.557,39.818,19.597,77.645
0150101,28.667,34.432,42.697,39.24,38.897,40.269,38.547,39.153,38.631,37.847,37.67,39.086,42.883,27.321,34.967,53.401,39.642,71.215,78.553,37.179,30.94,34.985,8.744,35.77,35.173,23.885,48.394,42.799,45.518,66.751,63.706,47.587,52.891,42.962,43.858,41.066,35.669,18.649,38.464,33.802,46.039,36.839,19.919,41.209,41.033,23.367,31.185,34.339,39.217,33.916,40.839,40.424,38.576,56.416,21.287,41.604,34.476,47.901,19.097,30.946,40.314,17.095,14.533,46.915,23.175,43.679,33.302,40.717,43.514,24.502,27.241,46.67,54.615,14.101,53.531,53.328,35.021,31.452,68.819,54.195,12.348,59.662,15.967,61.376,41.062,18.297,48.444,40.679,48.379,53.807,13.692
0150201,22.842,26.176,44.056,37.845,28.397,32.29,28.046,37.757,37.236,36.452,36.275,28.585,33.978,25.926,33.572,45.422,29.142,62.959,70.297,35.784,26.674,27.323,5.967,34.375,33.778,18.345,40.415,41.998,44.123,58.495,62.31,46.209,44.912,44.321,42.075,39.67,34.274,20.015,27.963,32.406,38.06,35.444,21.285,39.814,39.638,20.591,28.408,32.944,28.717,29.032,39.444,29.853,37.18,48.437,25.885,34.023,26.894,39.922,12.127,24.789,38.919,10.993,17.231,38.659,20.399,42.284,22.131,32.739,42.119,21.726,29.607,45.666,55.149,16.467,54.89,51.639,33.626,23.196,60.563,52.8,9.571,51.406,8.797,59.98,39.667,19.682,40.465,39.284,46.984,52.412,11.207
0150301,24.553,27.886,45.767,39.556,30.108,34.0,29.757,39.468,38.946,31.416,37.985,30.296,35.689,27.637,35.282,47.133,30.852,64.67,72.008,37.494,28.385,29.033,7.861,36.086,35.489,20.056,42.125,43.708,45.834,60.206,64.021,44.758,46.623,46.032,43.786,41.381,35.984,21.726,29.674,34.117,39.771,37.154,22.996,41.524,41.349,22.302,30.119,34.655,30.427,30.743,41.155,31.564,38.891,50.147,27.596,35.734,28.605,41.632,13.838,26.499,40.629,12.704,18.941,40.369,22.11,43.995,23.842,34.449,43.83,23.436,38.311,47.376,56.86,20.521,56.601,53.35,35.337,24.907,62.274,54.511,11.282,53.117,10.69,61.691,41.378,21.393,42.176,40.995,48.694,54.123,9.757
0150302,22.333,25.667,43.547,37.336,27.888,31.781,27.537,37.249,36.727,35.943,35.766,28.077,33.47,25.417,33.063,44.913,28.633,62.45,69.788,35.275,26.166,26.814,5.641,33.866,33.269,17.837,39.906,41.489,43.614,57.986,61.802,43.411,44.404,43.812,41.566,39.162,33.765,19.506,27.455,31.898,37.552,34.935,20.776,39.305,39.129,20.082,27.9,32.435,28.208,28.524,38.935,29.344,36.671,47.928,25.376,33.514,26.386,39.413,11.618,24.28,38.41,10.484,16.722,38.15,19.89,41.775,21.622,32.23,41.61,21.217,36.092,45.157,54.64,19.331,54.381,51.13,33.117,22.687,60.054,52.291,9.062,50.897,8.471,59.472,39.158,19.174,39.956,38.775,46.475,51.903,8.409
0150401,21.134,24.467,42.347,36.137,26.688,30.581,26.338,36.049,35.527,27.997,34.566,26.877,32.27,24.217,31.863,43.713,27.433,61.25,68.589,34.075,24.966,25.614,4.259,32.666,32.069,16.637,38.706,40.289,42.414,56.786,60.602,45.694,43.204,42.612,40.367,37.962,32.565,18.306,26.255,30.698,36.352,33.735,19.577,38.105,37.929,18.882,26.7,31.235,27.008,27.324,37.735,28.144,35.472,46.728,24.176,32.314,25.186,38.213,10.418,23.08,37.21,9.284,15.522,36.95,18.69,40.575,20.422,31.03,40.41,20.017,34.892,43.957,53.441,19.148,53.182,49.931,31.917,21.487,58.854,51.092,7.863,49.697,7.088,58.272,37.958,17.974,38.756,37.575,45.275,50.703,10.692
0160101,94.085,95.616,118.289,83.212,82.635,87.672,88.717,80.944,80.046,82.348,82.457,83.012,78.115,88.913,84.139,76.794,81.005,128.927,82.841,83.127,91.752,83.514,111.968,83.863,85.594,104.515,80.194,78.03,84.21,80.737,80.301,157.916,76.284,118.554,78.506,80.013,83.762,111.338,88.634,91.483,80.899,82.787,101.118,79.477,79.443,96.588,81.663,85.333,82.476,82.002,79.787,81.259,81.221,79.809,100.563,81.92,87.341,79.388,105.038,94.124,78.354,106.928,114.604,104.627,114.124,74.591,98.184,87.653,75.026,93.78,110.833,87.629,64.443,113.467,129.123,108.319,92.702,96.501,82.056,87.408,108.579,75.311,111.805,88.422,81.446,107.763,79.931,79.627,78.562,87.02,121.843
0170101,35.364,41.128,30.021,45.937,45.594,46.965,45.243,45.849,45.327,44.543,44.366,45.782,49.58,34.018,41.663,60.097,46.339,77.911,85.25,43.875,37.637,41.681,18.829,42.467,41.87,30.582,55.09,49.495,52.215,73.447,70.402,47.84,59.588,30.286,50.554,47.762,42.365,25.345,45.16,40.498,52.736,43.535,24.39,47.905,47.73,33.406,46.681,41.036,45.914,45.15,47.536,47.121,45.272,63.112,26.936,48.301,41.172,54.597,25.794,37.643,47.01,22.676,18.901,53.611,30.512,50.376,39.998,47.414,50.211,36.879,24.077,53.367,61.312,17.447,41.153,60.024,41.718,38.148,75.516,60.892,27.241,66.358,21.547,68.072,47.759,23.667,55.14,47.376,55.075,60.504,13.945
0170301,32.41,38.242,46.508,43.051,42.708,44.08,51.284,42.964,42.442,41.658,41.481,51.823,46.694,31.132,38.778,57.212,43.453,75.026,82.364,40.99,34.751,38.796,12.74,39.581,38.984,27.696,52.205,46.609,49.329,70.562,67.516,51.397,56.702,46.773,47.668,44.877,39.48,22.46,42.275,37.612,49.85,40.65,23.73,45.02,44.844,28.955,36.773,38.15,51.955,42.265,44.65,44.235,42.386,60.226,25.098,52.899,38.286,51.711,22.908,34.757,44.125,20.906,18.344,50.725,28.763,47.49,37.113,44.528,47.325,30.09,31.052,50.481,58.426,17.912,57.342,57.138,38.832,35.263,72.63,58.006,17.935,63.473,19.778,65.187,44.873,22.108,52.255,44.49,52.19,57.618,17.502
0170401,35.088,40.853,29.746,45.662,45.319,46.69,53.895,45.574,45.052,44.268,44.091,45.507,49.305,33.743,41.388,59.822,46.063,77.636,84.975,43.6,37.361,41.406,18.554,42.191,41.594,30.307,54.815,49.22,51.94,73.172,70.127,47.371,59.313,30.011,50.279,47.487,42.09,25.07,44.885,40.223,52.461,43.26,24.115,47.63,47.454,33.131,55.332,40.761,45.638,44.875,47.26,46.845,44.997,62.837,26.661,48.026,40.897,54.322,25.519,37.368,46.735,22.401,18.626,53.336,30.044,50.1,39.723,47.139,49.935,36.604,23.802,53.092,61.037,17.172,40.878,59.749,41.442,37.873,75.24,60.617,26.966,66.083,21.272,67.797,47.483,23.392,54.865,47.101,54.8,60.228,13.476
0180101,51.596,38.773,83.082,54.892,46.389,38.833,46.038,52.624,51.726,49.66,49.769,46.577,48.048,53.488,55.819,39.225,47.133,17.678,14.292,49.403,49.675,47.962,53.496,55.544,57.274,52.465,46.697,46.591,60.212,10.333,78.71,98.518,40.213,83.347,46.061,51.693,55.442,59.041,45.955,63.325,44.837,54.468,60.311,51.157,51.123,49.574,47.476,57.795,46.708,49.378,51.467,49.254,52.901,38.465,60.004,47.653,44.852,45.365,51.373,42.048,50.034,50.071,56.644,20.15,54.726,46.271,46.896,39.282,48.627,51.291,75.626,61.23,53.44,69.69,93.916,81.449,64.544,37.154,11.652,69.199,50.107,8.68,53.461,76.38,53.288,58.689,45.908,51.307,52.463,68.811,63.378
0180201,58.882,44.039,88.348,53.712,51.654,44.099,51.304,51.444,50.546,52.849,52.958,51.843,46.868,59.414,54.639,38.045,49.758,22.944,17.702,53.628,56.962,53.228,58.762,54.364,56.094,57.731,45.517,45.411,59.032,15.599,77.53,103.783,39.033,88.613,44.882,50.514,54.263,64.307,51.221,62.145,47.808,53.288,65.577,49.978,49.944,54.84,50.417,55.834,51.974,52.503,50.287,50.058,51.722,37.286,65.27,50.673,52.138,44.186,56.639,47.314,48.855,55.337,61.91,25.416,59.992,45.092,52.162,44.548,47.448,58.577,80.892,60.05,52.26,74.956,99.182,80.27,63.365,42.42,16.918,68.02,55.373,11.878,58.727,75.2,52.109,63.955,44.729,50.128,51.284,67.632,68.644
0180301,59.198,44.354,88.663,54.027,51.97,44.414,51.619,51.76,50.862,53.164,53.273,52.158,47.183,59.729,54.955,38.361,50.073,23.259,18.018,53.943,57.277,53.543,59.078,54.679,56.41,58.046,45.833,45.727,59.347,15.914,77.845,104.099,39.349,88.928,45.197,50.829,54.578,64.622,51.536,62.461,48.124,53.603,65.892,50.293,50.259,55.155,50.732,56.149,52.289,52.818,50.603,50.374,52.037,37.601,65.585,50.988,52.453,44.501,56.954,47.629,49.17,55.652,62.225,25.731,60.307,45.407,52.478,44.863,47.763,58.892,81.207,60.366,52.576,75.271,99.497,80.585,63.68,42.735,17.233,68.335,55.688,12.193,59.042,75.516,52.424,64.27,45.044,50.443,51.599,67.947,68.959
